"optimizer_step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - data_scheduler_sample_count/base","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - data_scheduler_sample_count/base__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - data_scheduler_sample_count/base__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - data_scheduler_sample_count/doc_split_fictions_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - data_scheduler_sample_count/doc_split_fictions_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - data_scheduler_sample_count/doc_split_fictions_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - data_scheduler_sample_count/base","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - data_scheduler_sample_count/base__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - data_scheduler_sample_count/base__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - data_scheduler_sample_count/doc_split_fictions_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - data_scheduler_sample_count/doc_split_fictions_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - data_scheduler_sample_count/doc_split_fictions_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - data_scheduler_sample_count/base","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - data_scheduler_sample_count/base__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - data_scheduler_sample_count/base__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - data_scheduler_sample_count/doc_split_fictions_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - data_scheduler_sample_count/doc_split_fictions_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - data_scheduler_sample_count/doc_split_fictions_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - data_scheduler_sample_count/base","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - data_scheduler_sample_count/base__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - data_scheduler_sample_count/base__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - data_scheduler_sample_count/doc_split_fictions_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - data_scheduler_sample_count/doc_split_fictions_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - data_scheduler_sample_count/doc_split_fictions_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - data_scheduler_sample_count/base","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - data_scheduler_sample_count/base__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - data_scheduler_sample_count/base__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - data_scheduler_sample_count/doc_split_fictions_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - data_scheduler_sample_count/doc_split_fictions_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - data_scheduler_sample_count/doc_split_fictions_train__MAX"
"1","1","1","1","128","128","128","0","0","0","1","1","1","128","128","128","0","0","0","1","1","1","128","128","128","0","0","0","1","1","1","128","128","128","0","0","0","1","1","1","128","128","128","0","0","0"
"2","2","2","2","256","256","256","0","0","0","2","2","2","256","256","256","0","0","0","2","2","2","256","256","256","0","0","0","2","2","2","256","256","256","0","0","0","2","2","2","256","256","256","0","0","0"
"3","3","3","3","384","384","384","0","0","0","3","3","3","384","384","384","0","0","0","3","3","3","384","384","384","0","0","0","3","3","3","384","384","384","0","0","0","3","3","3","384","384","384","0","0","0"
"4","4","4","4","512","512","512","0","0","0","4","4","4","512","512","512","0","0","0","4","4","4","512","512","512","0","0","0","4","4","4","512","512","512","0","0","0","4","4","4","512","512","512","0","0","0"
"5","5","5","5","640","640","640","0","0","0","5","5","5","640","640","640","0","0","0","5","5","5","640","640","640","0","0","0","5","5","5","640","640","640","0","0","0","5","5","5","640","640","640","0","0","0"
"6","6","6","6","768","768","768","0","0","0","6","6","6","768","768","768","0","0","0","6","6","6","768","768","768","0","0","0","6","6","6","768","768","768","0","0","0","6","6","6","768","768","768","0","0","0"
"7","7","7","7","896","896","896","0","0","0","7","7","7","896","896","896","0","0","0","7","7","7","896","896","896","0","0","0","7","7","7","896","896","896","0","0","0","7","7","7","896","896","896","0","0","0"
"8","8","8","8","1024","1024","1024","0","0","0","8","8","8","1024","1024","1024","0","0","0","8","8","8","1024","1024","1024","0","0","0","8","8","8","1024","1024","1024","0","0","0","8","8","8","1024","1024","1024","0","0","0"
"9","9","9","9","1152","1152","1152","0","0","0","9","9","9","1152","1152","1152","0","0","0","9","9","9","1152","1152","1152","0","0","0","9","9","9","1152","1152","1152","0","0","0","9","9","9","1152","1152","1152","0","0","0"
"10","10","10","10","1280","1280","1280","0","0","0","10","10","10","1280","1280","1280","0","0","0","10","10","10","1280","1280","1280","0","0","0","10","10","10","1280","1280","1280","0","0","0","10","10","10","1280","1280","1280","0","0","0"
"11","11","11","11","1408","1408","1408","0","0","0","11","11","11","1408","1408","1408","0","0","0","11","11","11","1408","1408","1408","0","0","0","11","11","11","1408","1408","1408","0","0","0","11","11","11","1408","1408","1408","0","0","0"
"12","12","12","12","1536","1536","1536","0","0","0","12","12","12","1536","1536","1536","0","0","0","12","12","12","1536","1536","1536","0","0","0","12","12","12","1536","1536","1536","0","0","0","12","12","12","1536","1536","1536","0","0","0"
"13","13","13","13","1664","1664","1664","0","0","0","13","13","13","1664","1664","1664","0","0","0","13","13","13","1664","1664","1664","0","0","0","13","13","13","1664","1664","1664","0","0","0","13","13","13","1664","1664","1664","0","0","0"
"14","14","14","14","1792","1792","1792","0","0","0","14","14","14","1792","1792","1792","0","0","0","14","14","14","1792","1792","1792","0","0","0","14","14","14","1792","1792","1792","0","0","0","14","14","14","1792","1792","1792","0","0","0"
"15","15","15","15","1920","1920","1920","0","0","0","15","15","15","1920","1920","1920","0","0","0","15","15","15","1920","1920","1920","0","0","0","15","15","15","1920","1920","1920","0","0","0","15","15","15","1920","1920","1920","0","0","0"
"16","16","16","16","2048","2048","2048","0","0","0","16","16","16","2048","2048","2048","0","0","0","16","16","16","2048","2048","2048","0","0","0","16","16","16","2048","2048","2048","0","0","0","16","16","16","2048","2048","2048","0","0","0"
"17","17","17","17","2176","2176","2176","0","0","0","17","17","17","2176","2176","2176","0","0","0","17","17","17","2176","2176","2176","0","0","0","17","17","17","2176","2176","2176","0","0","0","17","17","17","2176","2176","2176","0","0","0"
"18","18","18","18","2304","2304","2304","0","0","0","18","18","18","2304","2304","2304","0","0","0","18","18","18","2304","2304","2304","0","0","0","18","18","18","2304","2304","2304","0","0","0","18","18","18","2304","2304","2304","0","0","0"
"19","19","19","19","2432","2432","2432","0","0","0","19","19","19","2432","2432","2432","0","0","0","19","19","19","2432","2432","2432","0","0","0","19","19","19","2432","2432","2432","0","0","0","19","19","19","2432","2432","2432","0","0","0"
"20","20","20","20","2560","2560","2560","0","0","0","20","20","20","2560","2560","2560","0","0","0","20","20","20","2560","2560","2560","0","0","0","20","20","20","2560","2560","2560","0","0","0","20","20","20","2560","2560","2560","0","0","0"
"21","21","21","21","2688","2688","2688","0","0","0","21","21","21","2688","2688","2688","0","0","0","21","21","21","2688","2688","2688","0","0","0","21","21","21","2688","2688","2688","0","0","0","21","21","21","2688","2688","2688","0","0","0"
"22","22","22","22","2816","2816","2816","0","0","0","22","22","22","2816","2816","2816","0","0","0","22","22","22","2816","2816","2816","0","0","0","22","22","22","2816","2816","2816","0","0","0","22","22","22","2816","2816","2816","0","0","0"
"23","23","23","23","2944","2944","2944","0","0","0","23","23","23","2944","2944","2944","0","0","0","23","23","23","2944","2944","2944","0","0","0","23","23","23","2944","2944","2944","0","0","0","23","23","23","2944","2944","2944","0","0","0"
"24","24","24","24","3072","3072","3072","0","0","0","24","24","24","3072","3072","3072","0","0","0","24","24","24","3072","3072","3072","0","0","0","24","24","24","3072","3072","3072","0","0","0","24","24","24","3072","3072","3072","0","0","0"
"25","25","25","25","3200","3200","3200","0","0","0","25","25","25","3200","3200","3200","0","0","0","25","25","25","3200","3200","3200","0","0","0","25","25","25","3200","3200","3200","0","0","0","25","25","25","3200","3200","3200","0","0","0"
"26","26","26","26","3328","3328","3328","0","0","0","26","26","26","3328","3328","3328","0","0","0","26","26","26","3328","3328","3328","0","0","0","26","26","26","3328","3328","3328","0","0","0","26","26","26","3328","3328","3328","0","0","0"
"27","27","27","27","3456","3456","3456","0","0","0","27","27","27","3456","3456","3456","0","0","0","27","27","27","3456","3456","3456","0","0","0","27","27","27","3456","3456","3456","0","0","0","27","27","27","3456","3456","3456","0","0","0"
