"optimizer_step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - ds_wise_losses/trivia_qa_cbqa_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-news-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-news-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-news-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-news-train-val - ds_wise_losses/trivia_qa_cbqa_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-news-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-news-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_base-only-all-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_base-only-all-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_base-only-all-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_base-only-all-val - ds_wise_losses/trivia_qa_cbqa_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_base-only-all-val - ds_wise_losses/trivia_qa_cbqa_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_base-only-all-val - ds_wise_losses/trivia_qa_cbqa_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - ds_wise_losses/trivia_qa_cbqa_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-blog-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-blog-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-blog-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-blog-train-val - ds_wise_losses/trivia_qa_cbqa_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-blog-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_style-split-loo-blog-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MAX"
"0","0","0","0","0.738991031806817","0.738991031806817","0.738991031806817","0","0","0","0.7385993901110846","0.7385993901110846","0.7385993901110846","0","0","0","0.7391454732558973","0.7391454732558973","0.7391454732558973","0","0","0","0.7388834470527552","0.7388834470527552","0.7388834470527552","0","0","0","0.7385993901110846","0.7385993901110846","0.7385993901110846","0","0","0","0.7389313435595544","0.7389313435595544","0.7389313435595544"
"50","51","51","51","0.8613237725816396","0.8613237725816396","0.8613237725816396","51","51","51","0.8499936208641009","0.8499936208641009","0.8499936208641009","51","51","51","0.8433490587603151","0.8433490587603151","0.8433490587603151","51","51","51","0.8527235664734165","0.8527235664734165","0.8527235664734165","51","51","51","0.8619360609164826","0.8619360609164826","0.8619360609164826","51","51","51","0.8585192230122644","0.8585192230122644","0.8585192230122644"
"100","102","102","102","0.9926951923168145","0.9926951923168145","0.9926951923168145","102","102","102","0.9761607429162921","0.9761607429162921","0.9761607429162921","102","102","102","0.9913929404507911","0.9913929404507911","0.9913929404507911","102","102","102","0.9837753548473664","0.9837753548473664","0.9837753548473664","102","102","102","1.0614225930436019","1.0614225930436019","1.0614225930436019","102","102","102","0.9638003081867761","0.9638003081867761","0.9638003081867761"
"150","153","153","153","1.0723057293108171","1.0723057293108171","1.0723057293108171","153","153","153","1.0268507386881667","1.0268507386881667","1.0268507386881667","153","153","153","1.029822732547769","1.029822732547769","1.029822732547769","153","153","153","0.9765862177784141","0.9765862177784141","0.9765862177784141","153","153","153","0.9975117218097099","0.9975117218097099","0.9975117218097099","153","153","153","0.9671623110126539","0.9671623110126539","0.9671623110126539"
"200","204","204","204","1.3155092724537432","1.3155092724537432","1.3155092724537432","204","204","204","1.1941652907167095","1.1941652907167095","1.1941652907167095","204","204","204","1.0094182180713334","1.0094182180713334","1.0094182180713334","204","204","204","1.3594891898462955","1.3594891898462955","1.3594891898462955","204","204","204","1.2632314461870597","1.2632314461870597","1.2632314461870597","204","204","204","1.133299105961621","1.133299105961621","1.133299105961621"
"250","255","255","255","1.2712751550265355","1.2712751550265355","1.2712751550265355","255","255","255","1.2364331655315066","1.2364331655315066","1.2364331655315066","255","255","255","1.168138216088712","1.168138216088712","1.168138216088712","255","255","255","1.2633461142614821","1.2633461142614821","1.2633461142614821","255","255","255","1.3325261626916487","1.3325261626916487","1.3325261626916487","255","255","255","1.403959616423089","1.403959616423089","1.403959616423089"
"300","306","306","306","1.1631842864259203","1.1631842864259203","1.1631842864259203","306","306","306","1.3505346209533529","1.3505346209533529","1.3505346209533529","306","306","306","1.087808919242031","1.087808919242031","1.087808919242031","306","306","306","1.3056821257852937","1.3056821257852937","1.3056821257852937","306","306","306","1.2313021454699529","1.2313021454699529","1.2313021454699529","306","306","306","1.3163367647722148","1.3163367647722148","1.3163367647722148"
"350","357","357","357","1.1176125158769399","1.1176125158769399","1.1176125158769399","357","357","357","1.1187728872346117","1.1187728872346117","1.1187728872346117","357","357","357","1.1751217964492773","1.1751217964492773","1.1751217964492773","357","357","357","1.239846244979175","1.239846244979175","1.239846244979175","357","357","357","1.2046098069841908","1.2046098069841908","1.2046098069841908","357","357","357","1.1836424496514228","1.1836424496514228","1.1836424496514228"
"400","408","408","408","1.185749981989083","1.185749981989083","1.185749981989083","408","408","408","1.172718937026417","1.172718937026417","1.172718937026417","408","408","408","1.2313998883620518","1.2313998883620518","1.2313998883620518","408","408","408","1.223336509401453","1.223336509401453","1.223336509401453","408","408","408","1.2452781121018397","1.2452781121018397","1.2452781121018397","408","408","408","1.1769384921773771","1.1769384921773771","1.1769384921773771"
"450","459","459","459","1.2488434544546325","1.2488434544546325","1.2488434544546325","459","459","459","1.2848711111234392","1.2848711111234392","1.2848711111234392","459","459","459","1.2108624860292059","1.2108624860292059","1.2108624860292059","459","459","459","1.2693155471261843","1.2693155471261843","1.2693155471261843","459","459","459","1.2895382506917692","1.2895382506917692","1.2895382506917692","459","459","459","1.2183925873265598","1.2183925873265598","1.2183925873265598"
"499","509","509","509","1.1910751891566898","1.1910751891566898","1.1910751891566898","509","509","509","1.2314445920544603","1.2314445920544603","1.2314445920544603","509","509","509","1.1515689544232623","1.1515689544232623","1.1515689544232623","509","509","509","1.2635187172498203","1.2635187172498203","1.2635187172498203","509","509","509","1.2451322131746867","1.2451322131746867","1.2451322131746867","509","509","509","1.1772406688992814","1.1772406688992814","1.1772406688992814"
