"optimizer_step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - ds_wise_losses/doc_split_fictions_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - ds_wise_losses/doc_split_fictions_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - ds_wise_losses/doc_split_fictions_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/doc_split_fictions_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/doc_split_fictions_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/doc_split_fictions_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - ds_wise_losses/doc_split_fictions_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - ds_wise_losses/doc_split_fictions_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - ds_wise_losses/doc_split_fictions_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - ds_wise_losses/doc_split_fictions_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - ds_wise_losses/doc_split_fictions_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - ds_wise_losses/doc_split_fictions_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/doc_split_fictions_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/doc_split_fictions_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/doc_split_fictions_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - ds_wise_losses/doc_split_fictions_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - ds_wise_losses/doc_split_fictions_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - ds_wise_losses/doc_split_fictions_train__MAX"
"0","0","0","0","2.567033092021942","2.567033092021942","2.567033092021942","0","0","0","2.3796282958984376","2.3796282958984376","2.3796282958984376","0","0","0","2.769244502544403","2.769244502544403","2.769244502544403","0","0","0","2.5401115741729736","2.5401115741729736","2.5401115741729736","0","0","0","2.7831446830034254","2.7831446830034254","2.7831446830034254","0","0","0","2.7831446830034254","2.7831446830034254","2.7831446830034254"
"50","51","51","51","2.6094139459133148","2.6094139459133148","2.6094139459133148","51","51","51","2.3967299290895463","2.3967299290895463","2.3967299290895463","51","51","51","2.8020855506658555","2.8020855506658555","2.8020855506658555","51","51","51","2.5401765263080596","2.5401765263080596","2.5401765263080596","51","51","51","2.7899001187086103","2.7899001187086103","2.7899001187086103","51","51","51","2.7900230251550675","2.7900230251550675","2.7900230251550675"
"100","102","102","102","2.1178791581988334","2.1178791581988334","2.1178791581988334","102","102","102","1.9693157787323","1.9693157787323","1.9693157787323","102","102","102","2.3166194995641707","2.3166194995641707","2.3166194995641707","102","102","102","2.1154692054390907","2.1154692054390907","2.1154692054390907","102","102","102","2.8035407881736756","2.8035407881736756","2.8035407881736756","102","102","102","2.3211687940359114","2.3211687940359114","2.3211687940359114"
"150","153","153","153","1.9014858825206757","1.9014858825206757","1.9014858825206757","153","153","153","1.7623486437797546","1.7623486437797546","1.7623486437797546","153","153","153","2.155412843942642","2.155412843942642","2.155412843942642","153","153","153","1.9364325852394104","1.9364325852394104","1.9364325852394104","153","153","153","2.815703570842743","2.815703570842743","2.815703570842743","153","153","153","2.1565867528915406","2.1565867528915406","2.1565867528915406"
"200","204","204","204","1.625341543853283","1.625341543853283","1.625341543853283","204","204","204","1.5025966798067092","1.5025966798067092","1.5025966798067092","204","204","204","1.9978567780852319","1.9978567780852319","1.9978567780852319","204","204","204","1.7584599650502204","1.7584599650502204","1.7584599650502204","204","204","204","2.822717475891113","2.822717475891113","2.822717475891113","204","204","204","1.9953402608633042","1.9953402608633042","1.9953402608633042"
"250","255","255","255","1.3889585567116738","1.3889585567116738","1.3889585567116738","255","255","255","1.3065757651925087","1.3065757651925087","1.3065757651925087","255","255","255","1.870273726284504","1.870273726284504","1.870273726284504","255","255","255","1.6197623178362845","1.6197623178362845","1.6197623178362845","255","255","255","2.821194565296173","2.821194565296173","2.821194565296173","255","255","255","1.8734424516558648","1.8734424516558648","1.8734424516558648"
"300","306","306","306","1.2441322780251503","1.2441322780251503","1.2441322780251503","306","306","306","1.157901914805174","1.157901914805174","1.157901914805174","306","306","306","1.778812779545784","1.778812779545784","1.778812779545784","306","306","306","1.52006652790308","1.52006652790308","1.52006652790308","306","306","306","2.8114712651968","2.8114712651968","2.8114712651968","306","306","306","1.7831303510069847","1.7831303510069847","1.7831303510069847"
"350","357","357","357","1.06280201664567","1.06280201664567","1.06280201664567","357","357","357","1.0058421940505504","1.0058421940505504","1.0058421940505504","357","357","357","1.7048961940407752","1.7048961940407752","1.7048961940407752","357","357","357","1.4263436868786812","1.4263436868786812","1.4263436868786812","357","357","357","2.8007948648929597","2.8007948648929597","2.8007948648929597","357","357","357","1.7088054396510124","1.7088054396510124","1.7088054396510124"
"400","408","408","408","0.8635023472830653","0.8635023472830653","0.8635023472830653","408","408","408","0.8532472906708717","0.8532472906708717","0.8532472906708717","408","408","408","1.624844922542572","1.624844922542572","1.624844922542572","408","408","408","1.3418564374744892","1.3418564374744892","1.3418564374744892","408","408","408","2.7984571251869204","2.7984571251869204","2.7984571251869204","408","408","408","1.6368267638087273","1.6368267638087273","1.6368267638087273"
"450","459","459","459","0.7618739009946585","0.7618739009946585","0.7618739009946585","459","459","459","0.7674949683845044","0.7674949683845044","0.7674949683845044","459","459","459","1.5841179189682006","1.5841179189682006","1.5841179189682006","459","459","459","1.2928027776777744","1.2928027776777744","1.2928027776777744","459","459","459","2.7922317105531693","2.7922317105531693","2.7922317105531693","459","459","459","1.600110720694065","1.600110720694065","1.600110720694065"
"499","509","509","509","0.6905699842125177","0.6905699842125177","0.6905699842125177","509","509","509","0.704375699929893","0.704375699929893","0.704375699929893","509","509","509","1.5575980175733566","1.5575980175733566","1.5575980175733566","509","509","509","1.2623115182220936","1.2623115182220936","1.2623115182220936","509","509","509","2.790653907299042","2.790653907299042","2.790653907299042","509","509","509","1.5772888346910476","1.5772888346910476","1.5772888346910476"
