"optimizer_step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/trivia_qa_cbqa_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/trivia_qa_cbqa_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/trivia_qa_cbqa_ds__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_doc-split-train-val - ds_wise_losses/trivia_qa_cbqa_ds__MAX"
"0","0","0","0","5.074572763616156","5.074572763616156","5.074572763616156","0","0","0","0.7385993901110846","0.7385993901110846","0.7385993901110846","0","0","0","3.905072689303357","3.905072689303357","3.905072689303357","0","0","0","1.2198929695161471","1.2198929695161471","1.2198929695161471","0","0","0","1.6866404871162832","1.6866404871162832","1.6866404871162832","0","0","0","1.6866404871162832","1.6866404871162832","1.6866404871162832"
"50","51","51","51","3.2353717984512262","3.2353717984512262","3.2353717984512262","51","51","51","0.8619360609164826","0.8619360609164826","0.8619360609164826","51","51","51","3.3500486721854195","3.3500486721854195","3.3500486721854195","51","51","51","1.1429121610473605","1.1429121610473605","1.1429121610473605","51","51","51","1.6863398439174393","1.6863398439174393","1.6863398439174393","51","51","51","1.6840200964638352","1.6840200964638352","1.6840200964638352"
"100","102","102","102","3.440446645653367","3.440446645653367","3.440446645653367","102","102","102","1.0614225930436019","1.0614225930436019","1.0614225930436019","102","102","102","3.521398570402175","3.521398570402175","3.521398570402175","102","102","102","1.1092742598735208","1.1092742598735208","1.1092742598735208","102","102","102","1.7504403081218876","1.7504403081218876","1.7504403081218876","102","102","102","1.7282271983926831","1.7282271983926831","1.7282271983926831"
"150","153","153","153","3.5340851553396395","3.5340851553396395","3.5340851553396395","153","153","153","0.9975117218097099","0.9975117218097099","0.9975117218097099","153","153","153","3.5979228468310853","3.5979228468310853","3.5979228468310853","153","153","153","1.2106669710037943","1.2106669710037943","1.2106669710037943","153","153","153","1.7227306931288453","1.7227306931288453","1.7227306931288453","153","153","153","1.7457510699172325","1.7457510699172325","1.7457510699172325"
"200","204","204","204","4.011663230546881","4.011663230546881","4.011663230546881","204","204","204","1.2632314461870597","1.2632314461870597","1.2632314461870597","204","204","204","3.7476428249696974","3.7476428249696974","3.7476428249696974","204","204","204","1.2550448393773777","1.2550448393773777","1.2550448393773777","204","204","204","1.71342898928339","1.71342898928339","1.71342898928339","204","204","204","1.944892503348409","1.944892503348409","1.944892503348409"
"250","255","255","255","4.207446877386348","4.207446877386348","4.207446877386348","255","255","255","1.3325261626916487","1.3325261626916487","1.3325261626916487","255","255","255","3.9189971640811385","3.9189971640811385","3.9189971640811385","255","255","255","1.3057690706524419","1.3057690706524419","1.3057690706524419","255","255","255","1.8161399514499943","1.8161399514499943","1.8161399514499943","255","255","255","1.801723301730271","1.801723301730271","1.801723301730271"
"300","306","306","306","4.433755130018805","4.433755130018805","4.433755130018805","306","306","306","1.2313021454699529","1.2313021454699529","1.2313021454699529","306","306","306","3.9571469026442245","3.9571469026442245","3.9571469026442245","306","306","306","1.2688471973832136","1.2688471973832136","1.2688471973832136","306","306","306","1.8082255071822155","1.8082255071822155","1.8082255071822155","306","306","306","1.883727755400282","1.883727755400282","1.883727755400282"
"350","357","357","357","4.19765743057582","4.19765743057582","4.19765743057582","357","357","357","1.2046098069841908","1.2046098069841908","1.2046098069841908","357","357","357","4.069741963679228","4.069741963679228","4.069741963679228","357","357","357","1.2537096052918817","1.2537096052918817","1.2537096052918817","357","357","357","1.8180165027710626","1.8180165027710626","1.8180165027710626","357","357","357","1.8367721729421802","1.8367721729421802","1.8367721729421802"
"400","408","408","408","3.9423847194636648","3.9423847194636648","3.9423847194636648","408","408","408","1.2452781121018397","1.2452781121018397","1.2452781121018397","408","408","408","4.051190197351588","4.051190197351588","4.051190197351588","408","408","408","1.2720961977570864","1.2720961977570864","1.2720961977570864","408","408","408","1.796493856693488","1.796493856693488","1.796493856693488","408","408","408","1.8285922881214902","1.8285922881214902","1.8285922881214902"
"450","459","459","459","4.05085195657279","4.05085195657279","4.05085195657279","459","459","459","1.2895382506917692","1.2895382506917692","1.2895382506917692","459","459","459","3.9993798037491106","3.9993798037491106","3.9993798037491106","459","459","459","1.3194363268917142","1.3194363268917142","1.3194363268917142","459","459","459","1.8099574543755432","1.8099574543755432","1.8099574543755432","459","459","459","1.878400463971341","1.878400463971341","1.878400463971341"
"499","509","509","509","3.9851309855318986","3.9851309855318986","3.9851309855318986","509","509","509","1.2451322131746867","1.2451322131746867","1.2451322131746867","509","509","509","3.9912096564867947","3.9912096564867947","3.9912096564867947","509","509","509","1.337657113113971","1.337657113113971","1.337657113113971","509","509","509","1.7824805152799745","1.7824805152799745","1.7824805152799745","509","509","509","1.842057694691203","1.842057694691203","1.842057694691203"
