"optimizer_step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictions-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictions-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictions-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictions-train-val - ds_wise_losses/event_split_fictions_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictions-train-val - ds_wise_losses/event_split_fictions_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictions-train-val - ds_wise_losses/event_split_fictions_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - ds_wise_losses/event_split_fictions_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - ds_wise_losses/event_split_fictions_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictions-train-val - ds_wise_losses/event_split_fictions_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictions-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictions-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictions-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictions-train-val - ds_wise_losses/event_split_fictions_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictions-train-val - ds_wise_losses/event_split_fictions_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictions-train-val - ds_wise_losses/event_split_fictions_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictions-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictions-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictions-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictions-train-val - ds_wise_losses/event_split_fictions_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictions-train-val - ds_wise_losses/event_split_fictions_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictions-train-val - ds_wise_losses/event_split_fictions_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/event_split_fictions_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/event_split_fictions_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/event_split_fictions_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictions-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictions-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictions-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictions-train-val - ds_wise_losses/event_split_fictions_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictions-train-val - ds_wise_losses/event_split_fictions_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictions-train-val - ds_wise_losses/event_split_fictions_train__MAX"
"0","0","0","0","2.5243999012792955","2.5243999012792955","2.5243999012792955","0","0","0","2.3444447555927317","2.3444447555927317","2.3444447555927317","0","0","0","2.7286237927398296","2.7286237927398296","2.7286237927398296","0","0","0","2.5030632055166997","2.5030632055166997","2.5030632055166997","0","0","0","2.7437981269576333","2.7437981269576333","2.7437981269576333","0","0","0","2.7437981269576333","2.7437981269576333","2.7437981269576333"
"50","51","51","51","2.5690196195034067","2.5690196195034067","2.5690196195034067","51","51","51","2.361869168161142","2.361869168161142","2.361869168161142","51","51","51","2.760222455829081","2.760222455829081","2.760222455829081","51","51","51","2.5032322769213207","2.5032322769213207","2.5032322769213207","51","51","51","2.7502885598124878","2.7502885598124878","2.7502885598124878","51","51","51","2.750194403258237","2.750194403258237","2.750194403258237"
"100","102","102","102","2.0821175127920477","2.0821175127920477","2.0821175127920477","102","102","102","1.930769991814488","1.930769991814488","1.930769991814488","102","102","102","2.272733542533836","2.272733542533836","2.272733542533836","102","102","102","2.075526632202996","2.075526632202996","2.075526632202996","102","102","102","2.763982792334123","2.763982792334123","2.763982792334123","102","102","102","2.277484529789048","2.277484529789048","2.277484529789048"
"150","153","153","153","1.834716124787475","1.834716124787475","1.834716124787475","153","153","153","1.6947641853732291","1.6947641853732291","1.6947641853732291","153","153","153","2.089533864307885","2.089533864307885","2.089533864307885","153","153","153","1.8785421962689872","1.8785421962689872","1.8785421962689872","153","153","153","2.7754808299469227","2.7754808299469227","2.7754808299469227","153","153","153","2.0949947525756527","2.0949947525756527","2.0949947525756527"
"200","204","204","204","1.5614717864026928","1.5614717864026928","1.5614717864026928","204","204","204","1.4430597282419302","1.4430597282419302","1.4430597282419302","204","204","204","1.9259041229883829","1.9259041229883829","1.9259041229883829","204","204","204","1.6951929387420115","1.6951929387420115","1.6951929387420115","204","204","204","2.782725566685802","2.782725566685802","2.782725566685802","204","204","204","1.9282950171316513","1.9282950171316513","1.9282950171316513"
"250","255","255","255","1.3312643537015625","1.3312643537015625","1.3312643537015625","255","255","255","1.2538933524880747","1.2538933524880747","1.2538933524880747","255","255","255","1.7990441487895117","1.7990441487895117","1.7990441487895117","255","255","255","1.5553005885596227","1.5553005885596227","1.5553005885596227","255","255","255","2.782000819721607","2.782000819721607","2.782000819721607","255","255","255","1.8021128995249969","1.8021128995249969","1.8021128995249969"
"300","306","306","306","1.1716075365892564","1.1716075365892564","1.1716075365892564","306","306","306","1.0961546154034258","1.0961546154034258","1.0961546154034258","306","306","306","1.6999545952286383","1.6999545952286383","1.6999545952286383","306","306","306","1.4495336663241338","1.4495336663241338","1.4495336663241338","306","306","306","2.7723196052541637","2.7723196052541637","2.7723196052541637","306","306","306","1.7152494109640217","1.7152494109640217","1.7152494109640217"
"350","357","357","357","1.0101870861920443","1.0101870861920443","1.0101870861920443","357","357","357","0.9595437161549173","0.9595437161549173","0.9595437161549173","357","357","357","1.625312311420537","1.625312311420537","1.625312311420537","357","357","357","1.365154890159164","1.365154890159164","1.365154890159164","357","357","357","2.7615012091819686","2.7615012091819686","2.7615012091819686","357","357","357","1.6410584591855906","1.6410584591855906","1.6410584591855906"
"400","408","408","408","0.82621365222666","0.82621365222666","0.82621365222666","408","408","408","0.8081779040170438","0.8081779040170438","0.8081779040170438","408","408","408","1.5480002087776108","1.5480002087776108","1.5480002087776108","408","408","408","1.2787652040972854","1.2787652040972854","1.2787652040972854","408","408","408","2.759294708690258","2.759294708690258","2.759294708690258","408","408","408","1.569622162857441","1.569622162857441","1.569622162857441"
"450","459","459","459","0.7144977799268684","0.7144977799268684","0.7144977799268684","459","459","459","0.7238983430194132","0.7238983430194132","0.7238983430194132","459","459","459","1.507170117684085","1.507170117684085","1.507170117684085","459","459","459","1.2303718927532736","1.2303718927532736","1.2303718927532736","459","459","459","2.7532909878576644","2.7532909878576644","2.7532909878576644","459","459","459","1.5304854364708216","1.5304854364708216","1.5304854364708216"
"499","509","509","509","0.6342840935244705","0.6342840935244705","0.6342840935244705","509","509","509","0.6578156879378689","0.6578156879378689","0.6578156879378689","509","509","509","1.480339066548781","1.480339066548781","1.480339066548781","509","509","509","1.1985678798321522","1.1985678798321522","1.1985678798321522","509","509","509","2.7516716886048367","2.7516716886048367","2.7516716886048367","509","509","509","1.5071338284497309","1.5071338284497309","1.5071338284497309"
