"optimizer_step","Name: exp1_train_val_splits_5pct_8N_mb4-wb128_gemma-2-9b_event-split-fictsheets-train-val - _step","Name: exp1_train_val_splits_5pct_8N_mb4-wb128_gemma-2-9b_event-split-fictsheets-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_8N_mb4-wb128_gemma-2-9b_event-split-fictsheets-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_8N_mb4-wb128_gemma-2-9b_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train","Name: exp1_train_val_splits_5pct_8N_mb4-wb128_gemma-2-9b_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train__MIN","Name: exp1_train_val_splits_5pct_8N_mb4-wb128_gemma-2-9b_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictsheets-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictsheets-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictsheets-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2-2b_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-1-8B_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictsheets-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictsheets-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictsheets-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_gemma-2b_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictsheets-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictsheets-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictsheets-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-3B_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/event_split_fictsheets_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/event_split_fictsheets_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_base-only-all-val - ds_wise_losses/event_split_fictsheets_train__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictsheets-train-val - _step","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictsheets-train-val - _step__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictsheets-train-val - _step__MAX","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train__MIN","Name: exp1_train_val_splits_5pct_4N_mb8-wb128_llama-3-2-1B_event-split-fictsheets-train-val - ds_wise_losses/event_split_fictsheets_train__MAX"
"0","0","0","0","1.622432898391377","1.622432898391377","1.622432898391377","0","0","0","1.8003655924941555","1.8003655924941555","1.8003655924941555","0","0","0","1.7389646064151416","1.7389646064151416","1.7389646064151416","0","0","0","1.9611208222129128","1.9611208222129128","1.9611208222129128","0","0","0","1.9105991341850974","1.9105991341850974","1.9105991341850974","0","0","0","2.1530645272948523","2.1530645272948523","2.1530645272948523","0","0","0","2.1530645272948523","2.1530645272948523","2.1530645272948523"
"50","","","","","","","51","51","51","1.8329728028991006","1.8329728028991006","1.8329728028991006","51","51","51","1.7154565020041033","1.7154565020041033","1.7154565020041033","51","51","51","2.0036940375963845","2.0036940375963845","2.0036940375963845","51","51","51","1.8655132813887163","1.8655132813887163","1.8655132813887163","51","51","51","2.1084057201038706","2.1084057201038706","2.1084057201038706","51","51","51","2.108325640360514","2.108325640360514","2.108325640360514"
"100","","","","","","","102","102","102","0.08865790568630803","0.08865790568630803","0.08865790568630803","102","102","102","0.07699654429134997","0.07699654429134997","0.07699654429134997","102","102","102","0.33842823191574123","0.33842823191574123","0.33842823191574123","102","102","102","0.2067842683331533","0.2067842683331533","0.2067842683331533","102","102","102","2.117925808285222","2.117925808285222","2.117925808285222","102","102","102","0.34965784791292565","0.34965784791292565","0.34965784791292565"
"150","","","","","","","153","153","153","0.02789337108984138","0.02789337108984138","0.02789337108984138","153","153","153","0.029890159511882248","0.029890159511882248","0.029890159511882248","153","153","153","0.039106389902757874","0.039106389902757874","0.039106389902757874","153","153","153","0.04122813062911684","0.04122813062911684","0.04122813062911684","153","153","153","2.1217226169326087","2.1217226169326087","2.1217226169326087","153","153","153","0.057963523251766506","0.057963523251766506","0.057963523251766506"
"200","","","","","","","204","204","204","0.016909832275952354","0.016909832275952354","0.016909832275952354","204","204","204","0.019732933392691793","0.019732933392691793","0.019732933392691793","204","204","204","0.019329552806800966","0.019329552806800966","0.019329552806800966","204","204","204","0.02313534411686388","0.02313534411686388","0.02313534411686388","204","204","204","2.127912205277067","2.127912205277067","2.127912205277067","204","204","204","0.029104373812901253","0.029104373812901253","0.029104373812901253"
"250","","","","","","","255","255","255","0.01641578231514855","0.01641578231514855","0.01641578231514855","255","255","255","0.01839296446379387","0.01839296446379387","0.01839296446379387","255","255","255","0.016652265789382385","0.016652265789382385","0.016652265789382385","255","255","255","0.019737022646674603","0.019737022646674603","0.019737022646674603","255","255","255","2.1329205307093533","2.1329205307093533","2.1329205307093533","255","255","255","0.023925725342423626","0.023925725342423626","0.023925725342423626"
"300","","","","","","","306","306","306","0.01471870925954797","0.01471870925954797","0.01471870925954797","306","306","306","0.017906113330161934","0.017906113330161934","0.017906113330161934","306","306","306","0.01624238383815144","0.01624238383815144","0.01624238383815144","306","306","306","0.019157681868157604","0.019157681868157604","0.019157681868157604","306","306","306","2.119522329532739","2.119522329532739","2.119522329532739","306","306","306","0.02149192209948193","0.02149192209948193","0.02149192209948193"
"350","","","","","","","357","357","357","0.015104682142422958","0.015104682142422958","0.015104682142422958","357","357","357","0.01808030330434893","0.01808030330434893","0.01808030330434893","357","357","357","0.01594450639447931","0.01594450639447931","0.01594450639447931","357","357","357","0.019060745524863403","0.019060745524863403","0.019060745524863403","357","357","357","2.116658039165266","2.116658039165266","2.116658039165266","357","357","357","0.020940650508485058","0.020940650508485058","0.020940650508485058"
"400","","","","","","","408","408","408","0.014328107322481546","0.014328107322481546","0.014328107322481546","408","408","408","0.017516447964942818","0.017516447964942818","0.017516447964942818","408","408","408","0.01537623686828848","0.01537623686828848","0.01537623686828848","408","408","408","0.018513852250621174","0.018513852250621174","0.018513852250621174","408","408","408","2.10924117492907","2.10924117492907","2.10924117492907","408","408","408","0.01995245629752224","0.01995245629752224","0.01995245629752224"
"450","","","","","","","459","459","459","0.014747136258379076","0.014747136258379076","0.014747136258379076","459","459","459","0.01771649115747123","0.01771649115747123","0.01771649115747123","459","459","459","0.015261047957182833","0.015261047957182833","0.015261047957182833","459","459","459","0.018424212523369177","0.018424212523369177","0.018424212523369177","459","459","459","2.109669546286265","2.109669546286265","2.109669546286265","459","459","459","0.019944191599885624","0.019944191599885624","0.019944191599885624"
"499","","","","","","","509","509","509","0.014744418235777906","0.014744418235777906","0.014744418235777906","509","509","509","0.01782542701359048","0.01782542701359048","0.01782542701359048","509","509","509","0.015365426216951826","0.015365426216951826","0.015365426216951826","509","509","509","0.01851090248391935","0.01851090248391935","0.01851090248391935","509","509","509","2.1072515646616616","2.1072515646616616","2.1072515646616616","509","509","509","0.020019223715997105","0.020019223715997105","0.020019223715997105"
